proceedings_id,edition_id
proc_a56c47ea,ed_34d4635a
proc_a5ec3775,ed_995b3e58
proc_a7a1ac5e,ed_7658b095
proc_a9258d1c,ed_f604c66d
proc_ad2b9027,ed_37c7facf
proc_aee7225a,ed_94dc63e7
proc_afb2897a,ed_dd8537fb
proc_afd48956,ed_4005c9e2
proc_applied_sciences_2023,applied_sciences_2023
proc_arxiv_org_2023,arxiv_org_2023
proc_arxiv_org_2024,arxiv_org_2024
proc_arxiv_org_2025,arxiv_org_2025
proc_b0283488,ed_80b3e512
proc_b203249c,ed_ce70cae4
proc_b2827175,ed_e5970323
proc_b37bdc2c,ed_88bff71a
proc_b3e26299,ed_6451ebef
proc_b52f177e,ed_18aab14f
proc_b5a391aa,ed_3d668bba
proc_b5e5f3b7,ed_f2d9d661
proc_b893f689,ed_d05e4864
proc_b9302b3f,ed_09c0cd11
proc_bb1072a3,ed_997cf973
proc_bbe49ad5,ed_5b3e5056
proc_bc009aab,ed_00641c34
proc_bcc75ffa,ed_9508f4fa
proc_bdc50979,ed_3531763f
proc_be157449,ed_8ef04930
proc_be6d29ac,ed_03e126dd
proc_bf1d68cc,ed_045e402a
proc_bf72ba54,ed_81e3b4f1
proc_bf806450,ed_bd59b76a
proc_c165e3bc,ed_d888afef
proc_c2ce91fe,ed_23dfdc47
proc_c32ac24a,ed_85d1e810
proc_c693478e,ed_b541fbec
proc_c879d571,ed_a70028ee
proc_c91a33c8,ed_a5385edb
proc_c96757dd,ed_f9272068
proc_c9d3a3a6,ed_36659910
proc_cbb1d4e8,ed_939484b9
proc_cc1ba3c8,ed_c6641e91
proc_ccd91293,ed_51593997
proc_cdc9025f,ed_a8636c63
proc_ce1ca9bd,ed_45cd187a
proc_ce7350e9,ed_ca1d0789
proc_ce84a132,ed_46c3b197
proc_ce976a0c,ed_6e130ed3
proc_cf262b64,ed_3387c232
proc_cf8c0517,ed_ce245fea
proc_coling_workshops_2024,coling_workshops_2024
proc_d0c29a5a,ed_c825c185
proc_d26056e0,ed_94982c9e
proc_d45e7bc0,ed_d59bac58
proc_d4f0de18,ed_2274f4d6
proc_d51df35e,ed_2901b9ae
proc_d5f3fc55,ed_cfe9a3b2
proc_d6c8ad38,ed_2258b5d7
proc_d72c1627,ed_4c160934
proc_d902ad68,ed_1e483b30
proc_d9faf37b,ed_d9c2110e
proc_da39b8fc,ed_48920616
proc_db8d3241,ed_845e5f2e
proc_ddc6c305,ed_15adc055
proc_de6d4ed6,ed_d5f89473
proc_e0a98aea,ed_fcdb59f1
proc_e1ee3e6a,ed_0916cf05
proc_e37cb4b9,ed_a43a9fd0
proc_e387e4b1,ed_19b44200
proc_e39f2563,ed_654a57f0
proc_e3e0b25a,ed_3eb92c15
proc_e46a27c0,ed_3e079498
proc_e55f39cb,ed_2542bc71
proc_e6c195a7,ed_f24d38ce
proc_e8a98a29,ed_7fe5603d
proc_ec42f9f0,ed_b2323988
proc_edbd99ff,ed_9fcc0162
proc_ef0972cb,ed_310e116f
proc_ef13c8e9,ed_7d975ce0
proc_ef4fb09e,ed_d4490d78
proc_f2ac3751,ed_cc63d347
proc_f3fadecb,ed_b45a2e47
proc_f4e92e87,ed_0739a75b
proc_f53363a4,ed_c0c8cf7f
proc_f53f27fb,ed_33a9a433
proc_f5443c86,ed_7fd0deae
proc_f5c6a52d,ed_bbf9353c
proc_f6525e9e,ed_8cb792c9
proc_f6cb535a,ed_8249998e
proc_f71cfa9e,ed_4936c0dd
proc_f8af01b8,ed_18c1c847
proc_f9b83569,ed_b1bfe3f1
proc_fb8328b8,ed_22a3e97e
proc_fdf9a41e,ed_3039054e
proc_ff3b1130,ed_46c48acb
proc_north_american_chapter_of_the_association_for_computational_linguistics_2024,north_american_chapter_of_the_association_for_computational_linguistics_2024
proc_sigmod_conference_companion_2025,sigmod_conference_companion_2025
