paper_id,topic_id,relevance_score
paper_05392f02d837,topic_0778bd90,0.74
paper_05392f02d837,topic_48a6bdee,0.98
paper_05392f02d837,topic_ae20dbf9,0.95
paper_05392f02d837,topic_e137d940,0.83
paper_05603d582718,topic_2e2622ad,0.7
paper_05603d582718,topic_550c3314,0.57
paper_05603d582718,topic_e66f09ea,0.66
paper_0566b42a5188,topic_1a452e72,0.91
paper_0566b42a5188,topic_484e0c8a,0.62
paper_0566b42a5188,topic_783a3499,0.69
paper_057cde300140,topic_33ef3971,0.79
paper_057cde300140,topic_f0d5c4ce,0.85
paper_05c230eaaa5d,topic_6103c4e7,0.72
paper_05c230eaaa5d,topic_ae72d7af,0.54
paper_05c230eaaa5d,topic_d8e586ea,0.86
paper_05c230eaaa5d,topic_eeab01f1,0.93
paper_06107d4c5bde,topic_502d622d,0.91
paper_06107d4c5bde,topic_5c11910e,0.84
paper_06107d4c5bde,topic_ccf01d43,0.74
paper_0654d98a5150,topic_5ac6eec4,0.8
paper_0654d98a5150,topic_852b90ee,0.63
paper_06d3539a9066,topic_4bc3b9f4,0.67
paper_06d3539a9066,topic_8772e298,0.92
paper_078fe939a99f,topic_1a452e72,0.88
paper_078fe939a99f,topic_7b4fc790,0.97
paper_07fd815c20bc,topic_0778bd90,0.51
paper_07fd815c20bc,topic_157f2298,0.93
paper_08477d7edb0e,topic_8d1a0354,0.8
paper_0872b5abacce,topic_e686e7a6,0.79
paper_0875c88220e1,topic_4bc3b9f4,0.69
paper_0875c88220e1,topic_54f10851,0.71
paper_087b05c0c54a,topic_d77ec994,0.74
paper_087dbe8b6819,topic_8e2c7bf4,0.55
paper_088eb0764bfe,topic_4ba5595b,0.84
paper_088eb0764bfe,topic_89d25bd6,0.95
paper_088eb0764bfe,topic_daf3012e,0.76
paper_088eb0764bfe,topic_f535d8b4,0.6
paper_08f43cc67757,topic_28dec076,0.87
paper_08f43cc67757,topic_d4d3baf4,0.99
paper_08f64863d350,topic_550c3314,0.79
paper_08f64863d350,topic_65d5f1b6,0.9
paper_0978ab4d4a59,topic_0041bfb5,0.7
paper_0978ab4d4a59,topic_37f5aedf,0.72
paper_09a1733f7089,topic_8d1a0354,0.63
paper_09a448eb6a71,topic_5ac6eec4,0.94
paper_09a448eb6a71,topic_65d5f1b6,0.76
paper_09bab4efe29a,topic_ae72d7af,0.55
paper_0a400618c083,topic_3978aab7,1.0
paper_0a400618c083,topic_6e24d847,0.79
paper_0a715a098dc4,topic_44e7c637,0.7
paper_0a715a098dc4,topic_4cf3e2ba,0.66
paper_0a715a098dc4,topic_d224d601,0.98
paper_0aac71eb6c92,topic_d8e586ea,0.55
paper_0ab8e94aaed7,topic_4ba5595b,0.75
paper_0ab8e94aaed7,topic_ccf01d43,0.66
paper_0ab8e94aaed7,topic_daf3012e,0.59
paper_0ab8e94aaed7,topic_f535d8b4,0.57
paper_0aba9ad0eed1,topic_3978aab7,0.82
paper_0aba9ad0eed1,topic_eae46aca,0.85
paper_0ad220ef1423,topic_1b328fca,0.83
paper_0ad220ef1423,topic_8836d735,0.97
paper_0ad220ef1423,topic_a68029e6,0.8
paper_0b18520da2b0,topic_48a6bdee,0.91
paper_0b18520da2b0,topic_a8c7ffcf,0.66
paper_0b18520da2b0,topic_fe2060f7,0.58
paper_0b1cf9c093b6,topic_54f10851,0.7
paper_0b1cf9c093b6,topic_94385656,0.53
paper_0b1cf9c093b6,topic_a77d204c,0.53
paper_0b245483a230,topic_3d58f873,0.52
paper_0b245483a230,topic_f87ca730,0.82
paper_0b50a427704f,topic_37f5aedf,0.68
paper_0b50a427704f,topic_3cec53b2,0.92
paper_0b50a427704f,topic_45570000,0.95
paper_0b50a427704f,topic_9b423f5f,0.78
paper_0b5ca3170efb,topic_a6112dc2,0.59
paper_0b5ca3170efb,topic_d38f3679,0.98
paper_0b91f3b4cd2d,topic_a68029e6,0.77
paper_0b91f3b4cd2d,topic_b98e8ef0,0.95
paper_0c48b87dbd12,topic_0041bfb5,0.94
paper_0c48b87dbd12,topic_11e980b2,0.86
paper_0c48b87dbd12,topic_ef5a0181,0.74
paper_0c6014fe12ba,topic_477a3915,0.92
paper_0c6014fe12ba,topic_54f10851,1.0
paper_0c6014fe12ba,topic_d224d601,0.56
paper_0caeb6c0ff29,topic_39db9ad8,0.6
paper_0cbba6b25c8c,topic_1861fbdc,0.89
paper_0cbba6b25c8c,topic_37f5aedf,0.52
paper_0cbba6b25c8c,topic_986ec23f,0.55
paper_0cbba6b25c8c,topic_d0460b01,0.65
paper_0d0639bd5948,topic_550c3314,0.8
paper_0d0639bd5948,topic_6d110f72,0.65
paper_0d0639bd5948,topic_8571d95a,0.96
paper_0d7e2053aae0,topic_d77ec994,0.62
paper_0db73407119f,topic_1861fbdc,0.56
paper_0e3e7c3ced7d,topic_4596432c,0.67
paper_0e3e7c3ced7d,topic_8571d95a,0.92
paper_0e3e7c3ced7d,topic_a6112dc2,0.96
paper_0e47400879c6,topic_241cebae,0.59
paper_0e66b05c7132,topic_8571d95a,0.63
paper_0e7eae7d4566,topic_3299225f,0.8
paper_0e7eae7d4566,topic_907e29e8,0.65
paper_0e7eae7d4566,topic_d0460b01,0.57
paper_0e7eae7d4566,topic_fb0a7014,0.51
paper_0ecb2109b7a9,topic_31573f57,0.86
paper_0ecb2109b7a9,topic_986ec23f,0.52
paper_0ed2c38443c6,topic_216fef51,0.7
paper_0ed2c38443c6,topic_37f5aedf,0.99
paper_0ed2c38443c6,topic_48a6bdee,0.93
paper_0ed2c38443c6,topic_9927ff33,0.93
paper_0eedf3ead6e8,topic_306dc4a6,1.0
paper_0eedf3ead6e8,topic_7b4fc790,0.85
paper_0eedf3ead6e8,topic_f343e659,0.85
paper_0eeef7f83d64,topic_a6112dc2,0.8
paper_0eeef7f83d64,topic_cb9b7b56,0.62
paper_0f1f739b9165,topic_11e980b2,0.68
paper_0f3aa9c5f268,topic_4d8d9090,0.97
paper_0f3aa9c5f268,topic_5f0c4df8,0.56
paper_0f3aa9c5f268,topic_852b90ee,0.57
paper_0f3aa9c5f268,topic_b98e8ef0,0.52
paper_0f55b29d8c56,topic_20a19c4e,0.52
paper_0f55b29d8c56,topic_4ba5595b,1.0
paper_0f55b29d8c56,topic_daf3012e,0.6
paper_0fde13b0a107,topic_23b1d671,0.59
paper_102423ac7c83,topic_4596432c,0.65
paper_102423ac7c83,topic_ae72d7af,0.79
paper_102423ac7c83,topic_b4c90339,0.99
paper_102423ac7c83,topic_daf3012e,0.52
paper_116a247dce69,topic_45570000,0.63
paper_116a247dce69,topic_a77d204c,0.59
paper_11719764b130,topic_0200fd0d,0.89
paper_11719764b130,topic_4cf3e2ba,0.68
paper_11719764b130,topic_9927ff33,0.96
paper_1174aec0a621,topic_e686e7a6,0.55
paper_117df1133da4,topic_ae72d7af,0.92
paper_118edf2678d3,topic_1a9d3e45,0.76
paper_118edf2678d3,topic_75299d12,0.67
paper_118edf2678d3,topic_b65c78aa,0.71
paper_11b43a44b514,topic_22a85afd,0.75
paper_11b43a44b514,topic_23b1d671,0.59
paper_11b43a44b514,topic_44d59249,0.85
paper_11b43a44b514,topic_e137d940,0.73
paper_11bf11601993,topic_45570000,0.67
paper_11bf11601993,topic_9865d514,0.97
paper_11bf11601993,topic_ccf01d43,0.59
paper_11bf11601993,topic_d0460b01,0.9
paper_124213143aa4,topic_9d105a3f,0.55
paper_124213143aa4,topic_f4a369f0,0.93
paper_1277d0938666,topic_4d8d9090,0.63
paper_12baf8feb925,topic_216fef51,0.53
paper_12baf8feb925,topic_4cf3e2ba,0.67
paper_12bf40d13df9,topic_22a85afd,0.94
paper_12bf40d13df9,topic_4d8d9090,0.52
paper_12bf40d13df9,topic_e601842b,0.77
paper_12d4f094e199,topic_23b1d671,0.51
paper_12d4f094e199,topic_4ba5595b,0.51
paper_12d4f094e199,topic_5c11910e,0.77
paper_12d4f094e199,topic_d05723b1,1.0
paper_12fc36eea3c3,topic_216fef51,0.7
paper_135f73ea8336,topic_a68029e6,0.93
paper_13a17c8cd9f9,topic_a51b4e52,0.56
paper_13a17c8cd9f9,topic_a6112dc2,0.7
paper_13a17c8cd9f9,topic_f343e659,0.51
paper_142c339c3dbd,topic_3978aab7,0.83
paper_142c339c3dbd,topic_6d110f72,0.64
paper_142c339c3dbd,topic_e601842b,0.73
paper_14597b8acfd4,topic_2dc57aa9,0.96
paper_14597b8acfd4,topic_2e2622ad,0.54
paper_14597b8acfd4,topic_306dc4a6,0.65
paper_14597b8acfd4,topic_d5567bae,0.51
paper_14bb143c092e,topic_4d8d9090,0.83
paper_14bb143c092e,topic_54f10851,0.6
paper_14bb143c092e,topic_8836d735,0.78
paper_14ef645a41cb,topic_e137d940,0.93
paper_14fb6250ed12,topic_a6bd0db2,0.9
paper_153795350f05,topic_852b90ee,0.63
paper_153795350f05,topic_93954ef3,0.7
paper_153795350f05,topic_9927ff33,0.86
paper_15c8edb732e5,topic_a51b4e52,0.92
paper_15c8edb732e5,topic_ddeeacd1,0.98
paper_16248a863354,topic_c85e7318,0.75
paper_16cbd1faea0b,topic_943aada5,0.96
paper_16cbd1faea0b,topic_c1cfb10c,0.84
paper_16cbd1faea0b,topic_e137d940,0.83
paper_16cbd1faea0b,topic_e601842b,0.68
paper_16e4f8a988a6,topic_d5567bae,0.86
paper_17e5f714f75d,topic_4d8d9090,0.79
paper_17e5f714f75d,topic_65d5f1b6,0.75
paper_17e5f714f75d,topic_b0d0d13c,0.57
paper_1814ef2a85e8,topic_135d472a,0.88
paper_1814ef2a85e8,topic_2e2622ad,0.67
paper_1814ef2a85e8,topic_550c3314,0.51
paper_1814ef2a85e8,topic_89d25bd6,0.72
paper_18ebbdb9f8c0,topic_157f2298,0.89
paper_18ebbdb9f8c0,topic_e017ee06,0.87
paper_18f162bcdefb,topic_38c37719,0.9
paper_18f162bcdefb,topic_44e7c637,0.77
paper_18f162bcdefb,topic_4596432c,0.71
paper_18f162bcdefb,topic_abd890e3,0.7
paper_19042e97c406,topic_48a6bdee,0.58
paper_19042e97c406,topic_5f0c4df8,0.89
paper_19042e97c406,topic_907e29e8,0.85
paper_19042e97c406,topic_f0d5c4ce,0.86
paper_19228fb6a20f,topic_77db0429,0.61
paper_198b45a68b53,topic_1a452e72,0.75
paper_198c4d7d91d0,topic_20a19c4e,0.69
paper_198c4d7d91d0,topic_eeab01f1,0.89
paper_19911de90aa4,topic_d224d601,0.75
paper_199cf900bed7,topic_20a19c4e,0.74
paper_199cf900bed7,topic_a6112dc2,0.54
paper_199cf900bed7,topic_cf5afc56,0.82
paper_1a397fa1c71b,topic_8d1a0354,0.86
paper_1a397fa1c71b,topic_b4c90339,0.73
paper_1a397fa1c71b,topic_f87ca730,0.65
paper_1a6d26487f8b,topic_216fef51,0.72
paper_1a6d26487f8b,topic_2ca0190b,0.63
paper_1a6d26487f8b,topic_77db0429,0.89
paper_1a7d9f8c9aa9,topic_44d59249,0.8
paper_1a7d9f8c9aa9,topic_477a3915,0.93
paper_1b1a5c7d1943,topic_306dc4a6,0.9
paper_1b54cbd2e8e6,topic_9865d514,0.66
paper_1b5c1f4fc8d4,topic_e601842b,0.72
paper_1b8e7afd1b2a,topic_4596432c,1.0
paper_1c1978e4decc,topic_df3261fe,0.66
paper_1c1978e4decc,topic_e137d940,0.51
paper_1c8e70052c2a,topic_135d472a,0.88
paper_1c9e955175d9,topic_1a9d3e45,0.75
paper_1c9e955175d9,topic_ae72d7af,0.62
paper_1ce0358b345f,topic_0778bd90,0.81
paper_1ce0358b345f,topic_a77d204c,0.56
paper_1cf5839fc903,topic_b65c78aa,0.66
paper_1cf5839fc903,topic_b98e8ef0,0.91
paper_1cf5839fc903,topic_daf3012e,0.9
paper_1cf5839fc903,topic_e2fb3751,0.54
paper_1d55de42e64e,topic_5f43d0bb,0.64
paper_1d944eadbd01,topic_3299225f,0.52
paper_1d944eadbd01,topic_6e24d847,0.9
paper_1d944eadbd01,topic_907e29e8,0.94
paper_1d98106cbd7a,topic_3d58f873,0.73
paper_1d98106cbd7a,topic_ddeeacd1,0.7
paper_1d98106cbd7a,topic_fb2803b3,0.53
paper_1e1853bfc408,topic_502d622d,0.69
paper_1e1853bfc408,topic_93954ef3,0.71
paper_1e587ae00d66,topic_f0d5c4ce,0.89
paper_1e73702bea90,topic_44e7c637,0.72
paper_1e73702bea90,topic_a77d204c,0.91
paper_1e73702bea90,topic_f87ca730,0.9
paper_1e8e500d7037,topic_1a9d3e45,0.57
paper_1e8e500d7037,topic_1b328fca,0.61
paper_1e8e500d7037,topic_45570000,0.66
paper_1e8e500d7037,topic_54957382,0.6
paper_1e9d6c0e2d27,topic_6103c4e7,0.96
paper_1ee939777ff2,topic_39db9ad8,0.51
paper_1ee939777ff2,topic_907e29e8,0.81
paper_1ee939777ff2,topic_c1cfb10c,0.96
paper_1f51ae372a80,topic_e2fb3751,0.6
paper_206d1d67fef4,topic_bf80ee43,0.68
paper_209428c1f880,topic_4cf3e2ba,0.76
paper_20d661dc97dc,topic_44d59249,0.66
paper_20d661dc97dc,topic_d77ec994,0.97
paper_214055403519,topic_9865d514,0.77
paper_214055403519,topic_9d105a3f,0.59
paper_214055403519,topic_fca57ff2,0.51
paper_214bab7b7fa9,topic_5f43d0bb,0.85
paper_214bab7b7fa9,topic_c1cfb10c,0.77
paper_214bab7b7fa9,topic_d02a2864,1.0
paper_2175c7312595,topic_5017e72e,0.86
paper_2175c7312595,topic_a317dd5d,0.8
paper_221fa4fc9605,topic_8836d735,0.79
paper_2237da671b96,topic_ced4b441,0.94
paper_2237da671b96,topic_d0460b01,0.66
paper_2237da671b96,topic_d4d3baf4,0.55
paper_23374186a701,topic_23b1d671,0.64
paper_23374186a701,topic_907e29e8,1.0
paper_235627dbc304,topic_28dec076,0.79
paper_2365e24994d4,topic_2e2622ad,0.73
paper_23b745e20607,topic_a77d204c,0.98
paper_23b745e20607,topic_bf80ee43,0.6
paper_23bd9a664c79,topic_2e2622ad,0.61
paper_23bd9a664c79,topic_8d1a0354,0.59
paper_23bd9a664c79,topic_95936e2d,1.0
paper_23bd9a664c79,topic_d224d601,0.53
paper_23c1237af917,topic_5ac6eec4,0.74
paper_23c1237af917,topic_77db0429,0.76
paper_23c1237af917,topic_9d105a3f,0.96
paper_23dcfba42cc2,topic_b4c90339,0.93
paper_2400193928e4,topic_ac4364e1,0.83
paper_242f358904d1,topic_216fef51,0.57
paper_242f358904d1,topic_4596432c,0.7
paper_242f358904d1,topic_477a3915,0.68
paper_242f358904d1,topic_d05723b1,0.83
paper_2440580a40e4,topic_3ac3c71d,0.65
paper_2440580a40e4,topic_54957382,0.82
paper_2440580a40e4,topic_6c80807c,0.62
paper_24893bae73b2,topic_306dc4a6,0.67
paper_24893bae73b2,topic_e634c73d,0.97
paper_251bd0bcd725,topic_48a6bdee,0.93
paper_251bd0bcd725,topic_ef5a0181,0.53
paper_251bd0bcd725,topic_fb2803b3,0.85
paper_257a304cdd05,topic_28dec076,0.84
paper_257a304cdd05,topic_31573f57,0.9
paper_25f3d56b4675,topic_89d25bd6,0.63
paper_266e046a121d,topic_6c80807c,0.7
paper_266e046a121d,topic_95936e2d,0.64
paper_270cbffab335,topic_11e980b2,0.81
paper_270cbffab335,topic_1b328fca,0.75
paper_270cbffab335,topic_3d58f873,0.54
paper_270cbffab335,topic_cf5afc56,0.67
paper_27785400326e,topic_b98e8ef0,0.67
paper_279798e6096f,topic_31573f57,0.86
paper_279798e6096f,topic_412bf266,0.91
paper_279798e6096f,topic_4ba5595b,0.67
paper_279798e6096f,topic_d38f3679,0.89
paper_27a64b16dd6e,topic_a77d204c,0.94
paper_27abad9d6f5e,topic_135d472a,0.85
paper_27abad9d6f5e,topic_2e2622ad,0.71
paper_27abad9d6f5e,topic_8d1a0354,0.87
paper_27abad9d6f5e,topic_cac8669d,0.82
paper_28295c86032e,topic_455fead9,0.52
paper_288bf1cc08b2,topic_31573f57,0.82
paper_288bf1cc08b2,topic_44e7c637,0.67
paper_288bf1cc08b2,topic_dff69202,0.7
paper_288bf1cc08b2,topic_faa0ffc8,0.58
paper_289034afd4ef,topic_d38f3679,0.67
paper_28cbf2dd5918,topic_6103c4e7,0.85
paper_28cbf2dd5918,topic_a77d204c,0.84
paper_28cbf2dd5918,topic_e32b7a04,0.73
paper_290c9aa0728b,topic_6f59f3e8,0.85
paper_290c9aa0728b,topic_907e29e8,1.0
paper_290c9aa0728b,topic_a8c7ffcf,0.76
paper_292dc33680ab,topic_d77ec994,0.83
paper_292dc33680ab,topic_df3261fe,1.0
paper_293e5fb02768,topic_6f59f3e8,0.7
paper_293e5fb02768,topic_74ca2122,0.55
paper_2965126496cd,topic_157f2298,0.81
paper_2965126496cd,topic_4bc3b9f4,0.97
paper_2965126496cd,topic_8571d95a,0.88
paper_29715c551a6c,topic_1861fbdc,0.65
paper_29715c551a6c,topic_2e2622ad,0.69
paper_29715c551a6c,topic_fe2060f7,0.68
paper_298b6c1c38b0,topic_986ec23f,0.77
paper_298b6c1c38b0,topic_fca57ff2,0.51
paper_29e8bdd8cbfa,topic_455fead9,0.75
paper_29e8bdd8cbfa,topic_74ca2122,1.0
paper_29e8bdd8cbfa,topic_b4c90339,0.78
paper_29e8bdd8cbfa,topic_e66f09ea,0.73
paper_2a7d3470bbc4,topic_c07ef1fd,0.8
paper_2a80a477951e,topic_455fead9,0.63
paper_2a80a477951e,topic_8836d735,0.98
paper_2ad8aaa47d52,topic_020ba773,0.86
paper_2ad8aaa47d52,topic_37f5aedf,0.98
paper_2b3fc7682472,topic_f343e659,0.76
paper_2b3fc7682472,topic_fb0a7014,0.94
paper_2bea74936328,topic_20a19c4e,0.81
paper_2bea74936328,topic_907e29e8,0.63
paper_2bea74936328,topic_e137d940,0.94
paper_2c04aed4cc44,topic_20a19c4e,0.89
paper_2c2d2b5f6eba,topic_1a452e72,0.5
paper_2c2d2b5f6eba,topic_4ba5595b,0.55
paper_2c2d2b5f6eba,topic_d05723b1,0.61
paper_2c2d2b5f6eba,topic_e601842b,0.64
paper_2c71d3fcaaa7,topic_020ba773,0.89
paper_2c71d3fcaaa7,topic_4bc3b9f4,0.87
paper_2c71d3fcaaa7,topic_54f10851,0.53
paper_2ce88eaa099c,topic_6f59f3e8,0.98
paper_2ce954aa508c,topic_852b90ee,0.59
paper_2ce954aa508c,topic_9b423f5f,0.62
paper_2cf711e93d49,topic_48a6bdee,0.65
paper_2cf711e93d49,topic_77db0429,0.58
paper_2cf711e93d49,topic_ae72d7af,0.77
paper_2d64588deb8c,topic_135d472a,0.51
paper_2d64588deb8c,topic_daf3012e,0.75
paper_2d970badc802,topic_3299225f,0.66
paper_2d970badc802,topic_8e2c7bf4,0.87
paper_2db98a6ed4fa,topic_477a3915,0.7
paper_2dcefda14fff,topic_00ef787e,0.65
paper_2dcefda14fff,topic_22a85afd,0.57
paper_2e6758839a48,topic_31573f57,0.59
paper_2e6758839a48,topic_9927ff33,0.96
paper_2f1c4bca5811,topic_31573f57,0.55
paper_2f1c4bca5811,topic_6f59f3e8,0.9
paper_2f1c4bca5811,topic_ce2d7244,0.67
paper_2fba55513d53,topic_45570000,0.86
paper_2fba55513d53,topic_8836d735,0.54
paper_2fe0efe7ee7c,topic_8772e298,0.86
paper_2fe0efe7ee7c,topic_d38f3679,0.54
paper_2ff64d685d07,topic_39db9ad8,0.96
paper_2ff64d685d07,topic_4d8d9090,0.65
paper_3014646e625b,topic_8e2c7bf4,0.8
paper_30355bbcd802,topic_75299d12,0.68
paper_30355bbcd802,topic_9d105a3f,0.59
paper_303cab93ecd5,topic_31573f57,0.89
paper_303cab93ecd5,topic_4cf3e2ba,0.88
paper_303cab93ecd5,topic_77db0429,0.99
paper_303cab93ecd5,topic_cac8669d,0.72
paper_30c4f8d6a8e7,topic_477a3915,0.92
paper_312c9842bae5,topic_5f0c4df8,0.56
paper_312c9842bae5,topic_6d110f72,0.88
paper_312c9842bae5,topic_f343e659,0.9
paper_3137b0f44153,topic_4bc3b9f4,0.79
paper_3180557fba6f,topic_6e24d847,0.64
paper_3180557fba6f,topic_a51b4e52,0.63
paper_3180557fba6f,topic_d77ec994,0.52
paper_318527712753,topic_0778bd90,0.7
paper_318527712753,topic_135d472a,0.64
paper_318527712753,topic_74f4f8c4,0.94
paper_31c38dda7759,topic_44d59249,0.75
paper_31c38dda7759,topic_6f59f3e8,0.63
paper_31c38dda7759,topic_d38f3679,0.55
paper_32bc308a63c5,topic_e017ee06,0.69
paper_331894b37734,topic_8571d95a,0.62
paper_331894b37734,topic_cac8669d,0.78
paper_331894b37734,topic_e601842b,0.6
paper_331eaa47beed,topic_23b1d671,0.53
paper_331eaa47beed,topic_b98e8ef0,0.79
paper_331eaa47beed,topic_e7b51f0a,0.8
paper_3334b14c471d,topic_75299d12,0.72
paper_334220e3ba26,topic_20a19c4e,0.78
paper_334220e3ba26,topic_5017e72e,0.54
paper_334220e3ba26,topic_74ca2122,0.83
paper_334220e3ba26,topic_d5567bae,0.91
paper_336ab267c049,topic_135d472a,0.78
paper_336ab267c049,topic_ae20dbf9,0.89
paper_336ab267c049,topic_eeab01f1,0.64
paper_33eba2440c4b,topic_0200fd0d,0.61
paper_33eba2440c4b,topic_1a452e72,0.73
paper_34103d900746,topic_0efd8860,0.86
paper_34103d900746,topic_37f5aedf,0.53
paper_34103d900746,topic_b65c78aa,0.64
paper_34103d900746,topic_d38f3679,0.93
paper_341f8de63311,topic_93954ef3,0.82
paper_346baea7fdda,topic_11e980b2,0.66
paper_346baea7fdda,topic_9927ff33,0.78
paper_35581b1f4a6f,topic_ddeeacd1,0.54
paper_35581b1f4a6f,topic_ef5a0181,0.89
paper_35581b1f4a6f,topic_fb0a7014,0.64
paper_3564b7acedad,topic_cf5afc56,0.77
paper_35658575f0fd,topic_455fead9,0.8
paper_36905d64a6c6,topic_1a452e72,0.75
paper_36905d64a6c6,topic_5c11910e,0.86
paper_36905d64a6c6,topic_ef5a0181,0.87
paper_3695ab607ea5,topic_6f59f3e8,0.74
paper_3695ab607ea5,topic_cac8669d,0.74
paper_36aaf020af5c,topic_11e980b2,0.68
paper_36aaf020af5c,topic_e017ee06,0.52
paper_36aaf020af5c,topic_e601842b,0.63
paper_36ab87e9b337,topic_75299d12,0.52
paper_36ab87e9b337,topic_eeab01f1,0.7
paper_3719cc3a81c5,topic_75299d12,0.75
paper_37385bb055ef,topic_01affe6f,0.84
paper_37385bb055ef,topic_11e980b2,0.76
paper_37385bb055ef,topic_a68029e6,0.51
paper_3765e8ee4a5b,topic_3d58f873,0.67
paper_3765e8ee4a5b,topic_943aada5,0.77
paper_3765e8ee4a5b,topic_cb9b7b56,0.82
paper_3765e8ee4a5b,topic_f87ca730,0.68
paper_37690bd4130b,topic_94385656,0.68
paper_37690bd4130b,topic_cac8669d,0.96
paper_37c6b7f3a9c8,topic_94385656,0.89
paper_37c6b7f3a9c8,topic_ced4b441,0.97
paper_37c7ea2309b3,topic_22a85afd,0.94
paper_37c7ea2309b3,topic_74ca2122,0.86
paper_38143357f682,topic_54957382,0.7
paper_38143357f682,topic_7b4fc790,0.99
paper_38143357f682,topic_ae72d7af,0.92
paper_3821386ff56c,topic_d77ec994,0.86
paper_383252cc6b8c,topic_1861fbdc,0.57
paper_383252cc6b8c,topic_39db9ad8,0.63
paper_383f55cf66d3,topic_ac4364e1,0.62
paper_383f55cf66d3,topic_b0d0d13c,0.67
paper_383f55cf66d3,topic_ced4b441,0.84
paper_386b50d4be98,topic_00ef787e,0.75
paper_386b50d4be98,topic_3ac3c71d,0.66
paper_386b50d4be98,topic_abd890e3,0.64
paper_388669b3edad,topic_477a3915,0.93
paper_388669b3edad,topic_abd890e3,0.5
paper_38c6546fc57e,topic_00ef787e,0.78
paper_38cf1a0c231a,topic_cf5afc56,0.58
paper_38cf1a0c231a,topic_e601842b,0.57
paper_38d51561b12c,topic_20a19c4e,0.64
paper_38d51561b12c,topic_907e29e8,0.94
paper_38d51561b12c,topic_abd890e3,0.61
paper_38d51561b12c,topic_f0d5c4ce,0.76
paper_38e180064a1d,topic_01affe6f,0.8
paper_38e180064a1d,topic_4bc3b9f4,0.53
paper_38e180064a1d,topic_6e24d847,0.93
paper_38e180064a1d,topic_ccf01d43,0.8
paper_3947ff121389,topic_a6112dc2,0.95
paper_3947ff121389,topic_a77d204c,0.66
paper_39ddc08ecc59,topic_00ef787e,0.99
paper_39ddc08ecc59,topic_e66f09ea,0.61
paper_39ddc08ecc59,topic_e686e7a6,0.62
paper_3a10bda4bcfa,topic_1a9d3e45,0.57
paper_3a10bda4bcfa,topic_3299225f,0.99
paper_3a10bda4bcfa,topic_d4f379fb,0.95
paper_3a10bda4bcfa,topic_f87ca730,0.91
