edition_id,year_id
ed_44ba5696,year_2015
ed_45130ce2,year_2016
ed_45cd187a,year_2011
ed_46c3b197,year_2010
ed_46c48acb,year_2020
ed_48920616,year_2017
ed_492d71f2,year_2011
ed_4936c0dd,year_2015
ed_49390233,year_2021
ed_4bec4215,year_2022
ed_4c160934,year_2015
ed_4d098b17,year_2024
ed_4e107842,year_2012
ed_51593997,year_2021
ed_5273388a,year_2018
ed_559e7a70,year_2012
ed_56113281,year_2017
ed_595ad96e,year_2022
ed_5b3e5056,year_2024
ed_5ba98735,year_2016
ed_5ee72efc,year_2013
ed_5f4386e0,year_2017
ed_619bbbd9,year_2013
ed_6451ebef,year_2011
ed_64fc8797,year_2019
ed_654a57f0,year_2015
ed_65867bd4,year_2020
ed_65e2d809,year_2014
ed_68e5a1f1,year_2018
ed_6c9f71ab,year_2015
ed_6d8729ff,year_2022
ed_6e130ed3,year_2015
ed_6e99a156,year_2020
ed_6ea88398,year_2013
ed_6f174f94,year_2019
ed_6ff83cac,year_2018
ed_70b36e48,year_2021
ed_7272be49,year_2011
ed_72b9404b,year_2013
ed_75dd4076,year_2019
ed_7658b095,year_2017
ed_76e42e03,year_2019
ed_77606d44,year_2016
ed_78a3ccd7,year_2022
ed_7c897d0d,year_2024
ed_7d1d8f6e,year_2016
ed_7d975ce0,year_2015
ed_7e3c2e37,year_2021
ed_7efe50d3,year_2017
ed_7fd0deae,year_2019
ed_7fe5603d,year_2024
ed_7ff4f606,year_2016
ed_80b3e512,year_2015
ed_81e3b4f1,year_2017
ed_8249998e,year_2018
ed_84024c66,year_2023
ed_845e5f2e,year_2016
ed_85d1e810,year_2022
ed_86446b9b,year_2016
ed_87484e40,year_2017
ed_88bff71a,year_2020
ed_8902a610,year_2019
ed_8930030f,year_2015
ed_8cb792c9,year_2020
ed_8d0996a9,year_2015
ed_8e660c47,year_2019
ed_8ef04930,year_2015
ed_90da5702,year_2018
ed_939484b9,year_2020
ed_9399aa6c,year_2011
ed_946c9443,year_2018
ed_94982c9e,year_2023
ed_94a496db,year_2010
ed_94dc63e7,year_2022
ed_9508f4fa,year_2023
ed_95d092d1,year_2017
ed_985ebf35,year_2020
ed_9953e280,year_2024
ed_995b3e58,year_2012
ed_997cf973,year_2015
ed_9c16a7d8,year_2022
ed_9cff3dcf,year_2014
ed_9d1c9021,year_2010
ed_9f6b2464,year_2024
ed_9fcc0162,year_2015
ed_a3277b34,year_2015
ed_a43a9fd0,year_2021
ed_a5385edb,year_2010
ed_a59a5a31,year_2013
ed_a6e5d49b,year_2021
ed_a70028ee,year_2017
ed_a7011649,year_2015
ed_a8117c53,year_2014
ed_a8636c63,year_2024
ed_aa73682f,year_2012
ed_aa73dc59,year_2019
ed_abccc56d,year_2021
ed_abdcdb45,year_2012
ed_aff3dfd6,year_2019
ed_b1bfe3f1,year_2020
ed_b2135871,year_2020
ed_b2323988,year_2013
ed_b271870a,year_2019
ed_b27da449,year_2024
ed_b45a2e47,year_2016
ed_b541fbec,year_2012
ed_b5546360,year_2020
ed_b6c520d5,year_2014
ed_b72aaa44,year_2011
ed_b8ee5d52,year_2020
ed_bad8e5c8,year_2016
ed_bbf9353c,year_2022
ed_bc20ac37,year_2015
ed_bd59b76a,year_2019
ed_be5fa9ed,year_2020
ed_bf64d864,year_2018
ed_c0c8cf7f,year_2016
ed_c29e7da1,year_2023
ed_c2b5bbb1,year_2014
ed_c4022094,year_2024
ed_c40f7782,year_2011
ed_c49d6883,year_2021
ed_c51361a5,year_2011
ed_c5e96198,year_2017
ed_c5fcb949,year_2010
ed_c6641e91,year_2012
ed_c71bc089,year_2013
ed_c7bfcd1f,year_2018
ed_c811b8a4,year_2010
ed_c825c185,year_2021
ed_ca1d0789,year_2016
ed_ca92fbb6,year_2011
ed_cad6e5ac,year_2019
ed_cc63d347,year_2024
ed_ce08f156,year_2010
ed_ce245fea,year_2018
ed_ce70cae4,year_2018
ed_cfaae171,year_2019
ed_cfbebc9b,year_2012
ed_cfdd9836,year_2015
ed_cfe9a3b2,year_2015
ed_d05e4864,year_2017
ed_d4490d78,year_2020
ed_d59bac58,year_2011
ed_d5f89473,year_2014
ed_d888afef,year_2015
ed_d9c2110e,year_2022
ed_da16a988,year_2023
ed_daa90233,year_2018
ed_dcf90560,year_2017
ed_dd8537fb,year_2023
ed_dde266db,year_2021
ed_e0617b09,year_2013
ed_e22ae730,year_2020
ed_e5970323,year_2014
ed_e69420e9,year_2023
ed_e6ab571f,year_2015
ed_e904b45f,year_2024
ed_e9b2ce7f,year_2024
ed_eb901c14,year_2013
ed_ee15c495,year_2014
ed_f12e4f5b,year_2012
ed_f171753f,year_2020
ed_f24d38ce,year_2019
ed_f2d9d661,year_2016
ed_f3988ad9,year_2018
ed_f604c66d,year_2021
ed_f78e35c2,year_2015
ed_f7f8ed71,year_2021
ed_f82e39bb,year_2010
ed_f8e0a053,year_2021
ed_f9272068,year_2015
ed_fc129b65,year_2023
ed_fcdb59f1,year_2013
ed_fce1a9a7,year_2015
ed_feb7ca55,year_2014
ed_ff45910e,year_2021
north_american_chapter_of_the_association_for_computational_linguistics_2024,2024
sigmod_conference_companion_2025,2025
