paper_id,proceedings_id,pages
paper_8d1c1a3a2e65,proc_05af7ea3,45-89
paper_8d3b9fbd6786,proc_80ef5208,4-73
paper_8d4521e108c5,proc_f6525e9e,4-66
paper_8e267efb9cf1,proc_be6d29ac,27-83
paper_8ea34562375f,proc_a1908d6c,23-84
paper_8ecb4be22a69,proc_7a47ad62,32-76
paper_8eec788432e6,proc_40357090,3-97
paper_8fcf88aa8b19,proc_bf806450,21-52
paper_9024d65cb837,proc_f8af01b8,50-96
paper_90c60ebd50de,proc_588ba179,30-95
paper_92d54cbda517,proc_09e48404,10-92
paper_9369b8357793,proc_179d631a,1-86
paper_936cb97fca8b,proc_d72c1627,25-90
paper_938e7b051abe,proc_78f8a24e,49-73
paper_950b40efdbdb,proc_7a61f08c,20-93
paper_952c87003f36,proc_ec42f9f0,36-75
paper_9579b0a0f97a,proc_714ce208,4-52
paper_964243cb8b7e,proc_0ea73dda,26-74
paper_9652f6b2678a,proc_f2ac3751,11-57
paper_96559b1ff284,proc_bc009aab,39-84
paper_96d583e682a2,proc_05af7ea3,47-51
paper_9784e1a527fe,proc_f9b83569,38-86
paper_99edf7d771b4,proc_05af7ea3,2-90
paper_9a7bbe744089,proc_40357090,26-68
paper_9a7c8d56a4e6,proc_4ce8ec05,29-52
paper_9b170077bd07,proc_f4e92e87,23-67
paper_9b56831f1d0f,proc_ce976a0c,4-57
paper_9cba30e47d8e,proc_51011623,50-57
paper_9cc941ba1691,proc_ddc6c305,32-91
paper_9cdd2e44ecb8,proc_f8af01b8,49-57
paper_9f3cc8e975b6,proc_1ddcc5e5,8-87
paper_9fcc6cea7428,proc_57636e7b,24-82
paper_a022d61bf2f4,proc_95b9a174,44-70
paper_a1921e5bc706,proc_433b5380,40-59
paper_a1b5b5ee2242,proc_bcc75ffa,31-53
paper_a1efab6490ac,proc_2aa74456,37-84
paper_a1f6ab5a73ad,proc_a3ef6fbf,41-85
paper_a22617308c04,proc_73b18e28,8-79
paper_a42ad13bce5a,proc_71230cd2,45-91
paper_a460b7d5f429,proc_fdf9a41e,43-98
paper_a492f5db74bc,proc_3f52ced7,34-72
paper_a548bb8cddcf,proc_8da7e3c2,44-95
paper_a682585e4e7d,proc_d902ad68,16-60
paper_a69631be3e83,proc_aee7225a,21-55
paper_a69a5e84862a,proc_8a1a7968,33-60
paper_a6a384c4d88d,proc_3fdd3e41,22-100
paper_a732dee270cd,proc_a5ec3775,43-98
paper_a7878df9c279,proc_e1ee3e6a,23-63
paper_a8317ff487b8,proc_9764bd08,41-68
paper_a8f9c7c50ef9,proc_c32ac24a,13-100
paper_a9ae295f371f,proc_68d01406,20-81
paper_a9b2d6cc3f4d,proc_624c9a83,50-73
paper_a9d390706e30,proc_d26056e0,21-68
paper_ab41cd7384f2,proc_63b695f0,22-54
paper_ac114fa2920b,proc_0529f777,40-70
paper_ac562310dc19,proc_94f1ebcd,14-73
paper_acb36a34ed72,proc_d45e7bc0,32-84
paper_acd7be6692c4,proc_e39f2563,10-74
paper_ad2053c602c5,proc_b3e26299,36-96
paper_aeb7c5684041,proc_bf1d68cc,4-52
paper_aec49f0e88ff,proc_ff3b1130,38-86
paper_aeeeb3765996,proc_a56c47ea,27-62
paper_af01c523a06a,proc_4ab91506,15-88
paper_af38b23a62d9,proc_b5e5f3b7,19-87
paper_aff5b352ec31,proc_bdc50979,50-63
paper_b003e34388dc,proc_179d631a,34-100
paper_b02a79bede37,proc_7680fa8c,50-71
paper_b0a0278884e2,proc_4913763f,30-100
paper_b13988d4974f,proc_37797bd9,36-60
paper_b1c45e068dd3,proc_cdc9025f,26-84
paper_b273c0cfbf6e,proc_ef4fb09e,48-98
paper_b302e61a323c,proc_4295913d,21-97
paper_b3719516f613,proc_d4f0de18,32-62
paper_b3c5bdc4d1a0,proc_26b792fb,44-68
paper_b41cfc3b9402,proc_73b18e28,29-53
paper_b424720f7161,proc_262c63e7,25-69
paper_b48b3058dfc7,proc_71230cd2,34-58
paper_b4a10ae9adac,proc_09e48404,15-65
paper_b500c54c808e,proc_7a835e14,36-73
paper_b5cab9ffce63,proc_14829ff6,18-87
paper_b69a5f830f37,proc_11e46a18,50-57
paper_b6fb8da3f3fb,proc_1e5b5708,48-52
paper_b92f44c65e17,proc_3f52ced7,43-67
paper_bad396f49ebe,proc_bbe49ad5,35-90
paper_bb1abcf9a0b0,proc_32a49e5c,33-89
paper_bc0e65f8ddd2,proc_7ee56dc2,38-57
paper_bc5be6eb85a4,proc_1e5b5708,32-86
paper_bccc5d2b4d78,proc_f53363a4,26-76
paper_bce15d9a5928,proc_04c943a4,32-53
paper_bd083baa5797,proc_5c963bb6,18-51
paper_bd0c7320018b,proc_cbb1d4e8,44-51
paper_bd6b118767a0,proc_7c826941,21-72
paper_be93b9fcc792,proc_02fef299,38-52
paper_bee224c0ea26,proc_a45ece10,48-68
paper_bf0cb587916f,proc_d45e7bc0,41-88
paper_bf48aa649140,proc_f71cfa9e,16-90
paper_bfffcfef9fab,proc_588ba179,12-53
paper_c043924e60eb,proc_0ea73dda,49-89
paper_c0770de12eaf,proc_f71cfa9e,24-91
paper_c0934dc8089e,proc_c32ac24a,22-65
paper_c10d07d52af5,proc_9b25ade2,47-97
paper_c1bf9456861d,proc_a9258d1c,18-69
paper_c2261a36e295,proc_afb2897a,14-67
paper_c22eec163288,proc_0dd00dba,10-52
paper_c246dd227ffc,proc_0e1e4225,12-66
paper_c2ff5345658b,proc_4ab91506,4-51
paper_c49852c0da33,proc_0e1e4225,15-84
paper_c54092b26545,proc_3b021523,43-86
paper_c75d0831868d,proc_72b99715,20-82
paper_c7ac54df69ec,proc_78f8a24e,49-63
paper_c7e8a6e2f86a,proc_2e42a2a7,38-88
paper_c84c08be41ec,proc_197d5523,10-95
paper_c85ffe6298d5,proc_b5e5f3b7,2-53
paper_c8e29f8c29ea,proc_4913763f,34-96
paper_c944837422f3,proc_37797bd9,17-93
paper_c9518d2d168f,proc_033e3477,11-53
paper_c95952ef4c5e,proc_815c9240,16-81
paper_c98fbb7cbc64,proc_f4e92e87,38-75
paper_c9b26acecab5,proc_14829ff6,48-67
paper_ca8c884dfa7b,proc_68d01406,20-87
paper_cc4c88be2900,proc_e39f2563,18-79
paper_cc5b7a0030ae,proc_11e46a18,45-84
paper_cc6fcf88e1be,proc_678e0204,24-94
paper_cc98a5290e26,proc_edbd99ff,7-78
paper_cde95e1387c1,proc_c165e3bc,24-96
paper_ce8d0515a215,proc_45244fa7,30-72
paper_cfd62d5fb11a,proc_b2827175,9-62
paper_cfd63d9bcbc2,proc_8a2c2e55,47-56
paper_d10b11707aa3,proc_ef13c8e9,19-65
paper_d114a503eae2,proc_714ce208,50-95
paper_d18d9f6e48fa,proc_f53f27fb,7-88
paper_d4e55f9da47e,proc_d4f0de18,33-59
paper_d562f2fe046b,proc_a1b80f41,42-89
paper_d5dc66851241,proc_a9258d1c,35-68
paper_d60e10033855,proc_de6d4ed6,25-76
paper_d66e65b59a78,proc_a0df970a,47-88
paper_d66f871f3c93,proc_ce1ca9bd,49-51
paper_d681e22545bf,proc_32a49e5c,4-72
paper_d6fca931ac39,proc_3100b89c,39-94
paper_d70219b1e488,proc_6957b859,3-96
paper_d72570e88b8b,proc_37797bd9,12-57
paper_d727e08a6b32,proc_92f1e3da,8-54
paper_d7f190e74288,proc_9b25ade2,17-77
paper_d7f6cbc570dd,proc_262c63e7,8-84
paper_d8caddb52da6,proc_985f32e7,24-66
paper_d918d38dc118,proc_f6cb535a,19-55
paper_d974eba8865e,proc_c693478e,13-75
paper_d9f316b18774,proc_50dd410c,50-84
paper_da200d57bbd4,proc_02fef299,23-76
paper_dbde76cab8b6,proc_b2827175,25-55
paper_dd09e87819e9,proc_d72c1627,1-100
paper_dd0ab9267c7c,proc_47d71f42,22-82
paper_dda752114864,proc_be6d29ac,26-95
paper_dddfe3e6c075,proc_cf262b64,4-91
paper_dfbcf82859e3,proc_f2ac3751,3-89
paper_e0a0aa738ef4,proc_b52f177e,9-66
paper_e188d1dff9ae,proc_197d5523,48-98
paper_e1a4071f7583,proc_989f02f1,41-90
paper_e208cbd46e6d,proc_7ee56dc2,32-88
paper_e23a3c558726,proc_53e3ebe9,12-96
paper_e247ba791275,proc_b0283488,11-83
paper_e2781ea3b003,proc_677ee4ff,43-69
paper_e28c1e637eaf,proc_be6d29ac,43-100
paper_e2cc7ff7e015,proc_560059a1,1-98
paper_e3553b086696,proc_be157449,23-89
paper_e3ab74045bf1,proc_d72c1627,10-55
paper_e3c859b82392,proc_cdc9025f,7-82
paper_e3e21266e325,proc_0fe91d56,33-60
paper_e427649d2c3e,proc_b203249c,30-75
paper_e445491d298d,proc_1ddcc5e5,45-52
paper_e487ca890a40,proc_6b8e21b8,29-64
paper_e4f2486bbd5b,proc_1fe4ba78,31-53
paper_e577adc42e0f,proc_83258dd6,31-80
paper_e5d60b88dfe7,proc_f6cb535a,23-74
paper_e5ed000d0913,proc_c32ac24a,2-96
paper_e61f91ab595d,proc_de6d4ed6,28-65
paper_e621369baa86,proc_f8af01b8,27-83
paper_e865a3c8e90e,proc_d6c8ad38,28-91
paper_e874845ac06d,proc_be6d29ac,31-100
paper_e888b41956a9,proc_04c943a4,12-52
paper_e8d4e31a61ce,proc_05af7ea3,44-54
paper_e9685478faef,proc_333ab55b,43-60
paper_e9fe059e086f,proc_106d3e97,35-71
paper_ea2d4e55fd8c,proc_9e7e8f22,7-64
paper_ebf40466cfeb,proc_f53f27fb,49-68
paper_ec21d319da61,proc_23b10cbc,2-83
paper_ec594e8f6212,proc_d26056e0,12-92
paper_ec74b4d33fc5,proc_bbe49ad5,39-95
paper_ecbd09969f3a,proc_289d79ee,29-93
paper_ecd8ac968da9,proc_cbb1d4e8,47-81
paper_ed54bda24961,proc_80ef5208,25-67
paper_edb2a7a850c8,proc_fb8328b8,10-75
paper_edd88188c201,proc_bf1d68cc,28-62
paper_ee8072aa9137,proc_8a2c2e55,6-76
paper_ef465905a91e,proc_ad2b9027,25-96
paper_eff09aeb5839,proc_6a4b5968,2-94
paper_effbf762d23c,proc_f3fadecb,33-55
paper_f019e0493996,proc_815c9240,11-98
paper_f05a4b8929dc,proc_e46a27c0,31-67
paper_f11483480aec,proc_b0283488,11-94
paper_f1c7363718db,proc_68d01406,5-80
paper_f232a3e4cead,proc_a2b8c096,50-52
paper_f27e023169c1,proc_a9258d1c,19-95
paper_f39c59626cd2,proc_9764bd08,37-100
paper_f41c9ffa2853,proc_f3fadecb,7-71
paper_f47841fdf091,proc_45244fa7,19-65
paper_f516c3cb4ab4,proc_145de014,13-80
paper_f64571c6b4b4,proc_f2ac3751,40-61
paper_f967f4e8a6a5,proc_4295913d,16-72
paper_f9bae64f4418,proc_47d71f42,16-87
paper_f9f7f32f4152,proc_d51df35e,15-65
paper_f9fbe874821c,proc_a0497103,23-68
paper_fa6ea0e7b6d6,proc_b52f177e,9-59
paper_fa757ff15e95,proc_1fe4ba78,27-86
paper_faa0ce84cd0f,proc_1c77c51b,2-53
paper_fb0a22bdf796,proc_c96757dd,27-94
paper_fb7b7a9397e3,proc_5336c882,17-58
paper_fba0c0b12bb1,proc_96e90cba,15-91
paper_fc98b9ffb3ab,proc_3a161d2f,1-97
paper_fcca7b11381d,proc_91aec164,48-54
paper_fdd1a500650c,proc_f4e92e87,30-54
paper_fdd701d87f01,proc_f53363a4,5-94
paper_feaea6c4e6ce,proc_a5ec3775,30-66
paper_ff17246b8c8f,proc_678e0204,26-64
paper_ff2d45e6bd57,proc_f5443c86,32-92
paper_ffbfc8dad628,proc_db8d3241,7-84
paper_ffd8b3c9674a,proc_50dd410c,46-75
paper_ffdbaa2c9531,proc_6957b859,38-55
