edition_id,number,start_date,end_date
ed_abdcdb45,4,2021-01-15,2021-01-15
ed_0aacf235,1,2018-03-30,2018-03-30
ed_f82e39bb,2,2019-12-12,2019-12-12
ed_fce1a9a7,3,2024-03-10,2024-03-10
ed_ce245fea,4,2025-03-12,2025-03-12
ed_7272be49,1,2024-12-12,2024-12-12
ed_6ea88398,2,2019-02-10,2019-02-10
ed_9f6b2464,3,2020-04-16,2020-04-16
ed_8249998e,1,2017-05-21,2017-05-21
ed_fc129b65,2,2022-11-13,2022-11-13
ed_3eb92c15,3,2018-03-14,2018-03-14
ed_95d092d1,4,2017-08-10,2017-08-10
ed_5273388a,1,2023-09-13,2023-09-13
ed_f7f8ed71,2,2017-11-30,2017-11-30
ed_3531763f,3,2025-09-11,2025-09-11
ed_b541fbec,1,2025-02-22,2025-02-22
ed_e6ab571f,2,2025-02-08,2025-02-08
ed_7d1d8f6e,1,2019-03-12,2019-03-12
ed_0f2519d7,1,2021-08-31,2021-08-31
ed_ce70cae4,2,2016-10-10,2016-10-10
ed_2c36e56c,3,2017-01-02,2017-01-02
ed_c7bfcd1f,4,2018-08-02,2018-08-02
ed_c825c185,1,2022-06-25,2022-06-25
ed_94dc63e7,1,2025-11-03,2025-11-03
ed_9399aa6c,1,2024-06-11,2024-06-11
ed_7658b095,2,2022-06-03,2022-06-03
ed_9cff3dcf,1,2020-05-18,2020-05-18
ed_6ff83cac,2,2023-10-30,2023-10-30
ed_997cf973,3,2024-12-16,2024-12-16
ed_49390233,1,2017-10-09,2017-10-09
ed_21b673b0,2,2026-03-28,2026-03-28
ed_a5385edb,3,2019-10-23,2019-10-23
ed_b6c520d5,4,2023-12-18,2023-12-18
ed_72b9404b,1,2018-12-10,2018-12-10
ed_0b984cd3,1,2025-06-04,2025-06-04
ed_a59a5a31,2,2016-10-29,2016-10-29
ed_4936c0dd,3,2016-10-09,2016-10-09
ed_b271870a,4,2022-02-23,2022-02-23
ed_9c16a7d8,1,2023-03-09,2023-03-09
ed_9fcc0162,1,2020-07-31,2020-07-31
ed_5f4386e0,2,2021-04-08,2021-04-08
ed_15772061,3,2025-04-04,2025-04-04
ed_c40f7782,1,2022-06-04,2022-06-04
ed_045e402a,2,2024-06-02,2024-06-02
ed_3e079498,3,2018-06-19,2018-06-19
ed_5b3e5056,4,2017-12-20,2017-12-20
ed_6d8729ff,1,2025-07-10,2025-07-10
ed_0739a75b,1,2017-04-17,2017-04-17
ed_b5546360,1,2026-03-03,2026-03-03
ed_23994b00,1,2016-08-03,2016-08-03
ed_f3988ad9,2,2023-02-15,2023-02-15
ed_65867bd4,3,2022-06-06,2022-06-06
ed_3387c232,4,2017-10-07,2017-10-07
ed_88bff71a,1,2020-01-15,2020-01-15
ed_44ba5696,1,2018-11-26,2018-11-26
ed_492d71f2,2,2020-09-27,2020-09-27
ed_ca92fbb6,1,2018-11-06,2018-11-06
ed_da16a988,2,2025-12-11,2025-12-11
ed_17eb27b4,3,2022-08-31,2022-08-31
ed_c811b8a4,1,2023-04-04,2023-04-04
ed_05bfb9f3,2,2023-07-14,2023-07-14
ed_ce08f156,3,2024-11-26,2024-11-26
ed_3d68602f,4,2025-08-02,2025-08-02
ed_f12e4f5b,1,2016-10-27,2016-10-27
ed_36659910,2,2024-03-03,2024-03-03
ed_c6641e91,3,2019-06-10,2019-06-10
ed_d05e4864,4,2020-10-11,2020-10-11
ed_f2d9d661,1,2022-02-15,2022-02-15
ed_9953e280,1,2021-03-10,2021-03-10
ed_cfdd9836,1,2024-08-10,2024-08-10
ed_77606d44,2,2022-02-24,2022-02-24
ed_ff45910e,3,2017-06-27,2017-06-27
ed_a70028ee,4,2020-09-01,2020-09-01
ed_0d0ee819,1,2019-12-26,2019-12-26
ed_c29e7da1,2,2018-04-20,2018-04-20
ed_b45a2e47,1,2017-07-31,2017-07-31
ed_595ad96e,2,2019-02-11,2019-02-11
ed_48920616,3,2022-07-30,2022-07-30
ed_0642bc08,1,2022-07-11,2022-07-11
ed_8ef04930,2,2022-06-18,2022-06-18
ed_87484e40,1,2016-05-28,2016-05-28
ed_c2b5bbb1,1,2020-07-27,2020-07-27
ed_feb7ca55,1,2021-06-05,2021-06-05
ed_384d1b77,2,2021-06-02,2021-06-02
ed_81e3b4f1,1,2019-12-04,2019-12-04
ed_84024c66,2,2016-09-02,2016-09-02
ed_23dfdc47,3,2019-08-08,2019-08-08
ed_254379b6,1,2021-04-30,2021-04-30
ed_c0c8cf7f,2,2023-06-02,2023-06-02
ed_cfaae171,3,2024-11-22,2024-11-22
ed_7fe5603d,1,2016-09-06,2016-09-06
ed_985ebf35,2,2022-06-09,2022-06-09
ed_8930030f,3,2022-11-18,2022-11-18
ed_dd8537fb,1,2023-10-03,2023-10-03
ed_d4490d78,2,2017-06-03,2017-06-03
ed_0fa7bc2d,3,2020-04-26,2020-04-26
ed_e9b2ce7f,1,2025-05-03,2025-05-03
ed_00641c34,2,2020-06-09,2020-06-09
ed_abccc56d,1,2017-10-12,2017-10-12
ed_5ee72efc,2,2023-09-05,2023-09-05
ed_cc63d347,3,2025-01-31,2025-01-31
ed_46c3b197,1,2022-08-24,2022-08-24
ed_c5fcb949,2,2020-05-28,2020-05-28
ed_b8ee5d52,1,2024-07-24,2024-07-24
ed_1e483b30,2,2018-08-13,2018-08-13
ed_b27da449,1,2022-06-16,2022-06-16
ed_68e5a1f1,2,2025-02-25,2025-02-25
ed_aa73682f,1,2020-12-01,2020-12-01
ed_1e725f7c,2,2024-08-09,2024-08-09
ed_41152e7c,1,2019-05-22,2019-05-22
ed_2bb5f40c,1,2022-03-25,2022-03-25
ed_65e2d809,2,2024-05-11,2024-05-11
ed_654a57f0,1,2020-07-26,2020-07-26
ed_7fd0deae,2,2018-10-08,2018-10-08
ed_19b44200,3,2021-01-16,2021-01-16
ed_619bbbd9,4,2022-06-18,2022-06-18
ed_22a3e97e,1,2017-01-25,2017-01-25
ed_86446b9b,2,2023-11-04,2023-11-04
ed_7ff4f606,3,2024-01-22,2024-01-22
ed_3d668bba,4,2019-10-19,2019-10-19
ed_d888afef,1,2016-04-25,2016-04-25
ed_7c897d0d,2,2022-07-04,2022-07-04
ed_15adc055,3,2023-12-11,2023-12-11
ed_0dd114a8,4,2021-01-28,2021-01-28
ed_bf64d864,1,2016-07-15,2016-07-15
ed_6c9f71ab,2,2017-06-14,2017-06-14
ed_d9c2110e,3,2025-12-26,2025-12-26
ed_0258785f,1,2018-06-15,2018-06-15
ed_dde266db,1,2025-06-26,2025-06-26
ed_3d8a89e1,2,2021-08-21,2021-08-21
ed_177516fc,3,2018-11-21,2018-11-21
ed_2e566e80,4,2016-11-10,2016-11-10
ed_939484b9,1,2020-04-18,2020-04-18
ed_4e107842,1,2022-08-03,2022-08-03
ed_310e116f,1,2020-05-16,2020-05-16
ed_18c1c847,1,2022-11-25,2022-11-25
ed_aa73dc59,2,2024-02-29,2024-02-29
ed_f171753f,3,2016-09-27,2016-09-27
ed_6e99a156,1,2025-11-03,2025-11-03
ed_6e130ed3,2,2017-09-02,2017-09-02
ed_c71bc089,3,2020-03-31,2020-03-31
ed_a6e5d49b,4,2022-05-26,2022-05-26
ed_a8636c63,1,2024-07-28,2024-07-28
ed_be5fa9ed,1,2017-07-25,2017-07-25
ed_fcdb59f1,1,2022-01-17,2022-01-17
ed_1626ded3,2,2021-12-16,2021-12-16
ed_e69420e9,3,2017-01-09,2017-01-09
ed_8d0996a9,4,2016-11-21,2016-11-21
ed_bd59b76a,1,2025-07-12,2025-07-12
ed_d5f89473,2,2018-11-16,2018-11-16
ed_85d1e810,3,2017-02-27,2017-02-27
ed_b1bfe3f1,4,2019-01-26,2019-01-26
ed_946c9443,1,2020-08-19,2020-08-19
ed_4bec4215,2,2019-12-29,2019-12-29
ed_8cb792c9,3,2024-12-06,2024-12-06
ed_b2135871,4,2021-11-20,2021-11-20
ed_00fdd523,1,2026-01-07,2026-01-07
ed_9d1c9021,2,2021-06-22,2021-06-22
ed_ee15c495,3,2018-06-04,2018-06-04
ed_025c885d,1,2019-01-10,2019-01-10
ed_5ba98735,2,2021-05-13,2021-05-13
ed_45cd187a,3,2022-10-17,2022-10-17
ed_6451ebef,4,2017-12-05,2017-12-05
ed_bbf9353c,1,2023-01-07,2023-01-07
ed_25db858e,2,2019-01-01,2019-01-01
ed_f604c66d,3,2020-02-02,2020-02-02
ed_f78e35c2,1,2016-12-17,2016-12-17
ed_03e126dd,1,2023-09-20,2023-09-20
ed_76e42e03,2,2020-02-28,2020-02-28
ed_2fd29845,1,2019-08-29,2019-08-29
ed_23fb8cac,2,2021-08-31,2021-08-31
ed_37ae099f,3,2022-06-08,2022-06-08
ed_aff3dfd6,4,2021-10-26,2021-10-26
ed_3a4d4141,1,2017-11-16,2017-11-16
ed_4c160934,2,2024-08-25,2024-08-25
ed_dcf90560,3,2017-04-01,2017-04-01
ed_2258b5d7,1,2018-07-20,2018-07-20
ed_d59bac58,1,2022-04-01,2022-04-01
ed_6f174f94,1,2021-01-13,2021-01-13
ed_cfbebc9b,2,2023-07-26,2023-07-26
ed_64fc8797,3,2022-12-06,2022-12-06
